Model name,Model Size,Layer,Coeff,Max Tokens,File Path,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(16:16),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(16),12,8,0,18,2,0,4,16,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(17:17),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(17),12,8,0,14,6,0,4,16,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(18:18),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(18),11,9,0,13,7,0,1,19,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(19:19),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(19),12,8,0,14,6,0,2,18,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(20:20),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(20),12,8,0,14,6,0,0,20,0
Model name,Model Size,Layer,Coeff,Max Tokens,File Path,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(0:0),128,farhan_logs/Log_122_Coeff_Finding_Qwen1.5-1.8B-Chat//log_122_Qwen1.5-1.8B-Chat(0),12,8,0,0,0,20,0,0,20
Model name,Model Size,Layer,Coeff,Max Tokens,File Path,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(0:0),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(0),11,9,0,0,0,20,0,0,20
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(1:1),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(1),11,9,0,14,6,0,10,10,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(2:2),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(2),12,8,0,15,5,0,9,11,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(3:3),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(3),12,8,0,16,3,1,12,8,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(4:4),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(4),11,9,0,17,3,0,10,10,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(5:5),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(5),12,8,0,16,3,1,8,11,1
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(6:6),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(6),12,8,0,19,1,0,6,14,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(7:7),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(7),11,9,0,17,2,1,8,12,0
Model name,Model Size,Layer,Coeff,Max Tokens,File Path,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(0:0),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(0),13,7,0,0,0,20,0,0,20
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(1:1),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(1),11,9,0,15,5,0,11,9,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(2:2),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(2),13,7,0,14,6,0,10,10,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(3:3),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(3),12,8,0,17,3,0,10,10,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(4:4),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(4),11,9,0,17,3,0,10,10,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(5:5),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(5),12,8,0,17,3,0,6,14,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(6:6),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(6),11,9,0,19,1,0,7,13,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(7:7),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(7),12,8,0,18,2,0,6,14,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(8:8),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(8),11,9,0,19,1,0,5,15,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(9:9),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(9),12,8,0,19,1,0,7,13,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(10:10),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(10),13,7,0,19,1,0,9,11,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(11:11),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(11),11,9,0,18,2,0,7,12,1
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(12:12),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(12),12,8,0,18,2,0,5,15,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(13:13),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(13),12,8,0,18,2,0,5,15,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(14:14),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(14),11,9,0,20,0,0,2,18,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(15:15),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(15),13,7,0,16,4,0,5,15,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(16:16),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(16),11,9,0,17,3,0,3,17,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(17:17),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(17),12,8,0,15,5,0,2,18,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(18:18),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(18),12,8,0,14,6,0,3,17,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(19:19),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(19),13,7,0,14,6,0,2,18,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(20:20),128,farhan_logs/Log_150_Coeff_Finding_Qwen1.5-1.8B-Chat//log_150_Qwen1.5-1.8B-Chat(20),11,9,0,15,5,0,0,20,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(0:0),128,farhan_logs/Log_151_Coeff_Finding_Qwen1.5-7B-Chat//log_151_Qwen1.5-7B-Chat(0),14,6,0,0,0,20,0,0,20
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(1:1),128,farhan_logs/Log_151_Coeff_Finding_Qwen1.5-7B-Chat//log_151_Qwen1.5-7B-Chat(1),15,5,0,15,5,0,14,6,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(2:2),128,farhan_logs/Log_151_Coeff_Finding_Qwen1.5-7B-Chat//log_151_Qwen1.5-7B-Chat(2),14,6,0,15,5,0,13,7,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(3:3),128,farhan_logs/Log_151_Coeff_Finding_Qwen1.5-7B-Chat//log_151_Qwen1.5-7B-Chat(3),14,6,0,15,5,0,14,6,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(4:4),128,farhan_logs/Log_151_Coeff_Finding_Qwen1.5-7B-Chat//log_151_Qwen1.5-7B-Chat(4),14,6,0,15,5,0,13,7,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(5:5),128,farhan_logs/Log_151_Coeff_Finding_Qwen1.5-7B-Chat//log_151_Qwen1.5-7B-Chat(5),14,6,0,15,5,0,11,8,1
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(6:6),128,farhan_logs/Log_151_Coeff_Finding_Qwen1.5-7B-Chat//log_151_Qwen1.5-7B-Chat(6),14,6,0,15,5,0,9,11,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(7:7),128,farhan_logs/Log_151_Coeff_Finding_Qwen1.5-7B-Chat//log_151_Qwen1.5-7B-Chat(7),14,6,0,16,4,0,8,12,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(8:8),128,farhan_logs/Log_151_Coeff_Finding_Qwen1.5-7B-Chat//log_151_Qwen1.5-7B-Chat(8),14,6,0,15,5,0,7,13,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(9:9),128,farhan_logs/Log_151_Coeff_Finding_Qwen1.5-7B-Chat//log_151_Qwen1.5-7B-Chat(9),13,7,0,15,5,0,10,10,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(10:10),128,farhan_logs/Log_151_Coeff_Finding_Qwen1.5-7B-Chat//log_151_Qwen1.5-7B-Chat(10),14,6,0,16,4,0,8,12,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(11:11),128,farhan_logs/Log_151_Coeff_Finding_Qwen1.5-7B-Chat//log_151_Qwen1.5-7B-Chat(11),13,7,0,18,2,0,7,13,0
Model name,Model Size,Layer,Coeff,Max Tokens,File Path,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(12:12),128,farhan_logs/Log_152_Coeff_Finding_Qwen1.5-7B-Chat//log_152_Qwen1.5-7B-Chat(12),14,6,0,18,2,0,4,16,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(13:13),128,farhan_logs/Log_152_Coeff_Finding_Qwen1.5-7B-Chat//log_152_Qwen1.5-7B-Chat(13),14,6,0,18,2,0,5,15,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(14:14),128,farhan_logs/Log_152_Coeff_Finding_Qwen1.5-7B-Chat//log_152_Qwen1.5-7B-Chat(14),13,7,0,17,3,0,4,16,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(15:15),128,farhan_logs/Log_152_Coeff_Finding_Qwen1.5-7B-Chat//log_152_Qwen1.5-7B-Chat(15),14,6,0,17,3,0,2,18,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(16:16),128,farhan_logs/Log_152_Coeff_Finding_Qwen1.5-7B-Chat//log_152_Qwen1.5-7B-Chat(16),14,6,0,17,3,0,3,17,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(17:17),128,farhan_logs/Log_152_Coeff_Finding_Qwen1.5-7B-Chat//log_152_Qwen1.5-7B-Chat(17),14,6,0,15,5,0,3,17,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(18:18),128,farhan_logs/Log_152_Coeff_Finding_Qwen1.5-7B-Chat//log_152_Qwen1.5-7B-Chat(18),14,6,0,12,8,0,2,18,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(19:19),128,farhan_logs/Log_152_Coeff_Finding_Qwen1.5-7B-Chat//log_152_Qwen1.5-7B-Chat(19),14,6,0,10,10,0,2,18,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(20:20),128,farhan_logs/Log_152_Coeff_Finding_Qwen1.5-7B-Chat//log_152_Qwen1.5-7B-Chat(20),14,6,0,8,12,0,2,18,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,-1,(12:12),128,farhan_logs/Log_153_Coeff_Finding_Qwen1.5-14B-Chat//log_153_Qwen1.5-14B-Chat(12),15,5,0,20,0,0,5,15,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,-1,(13:13),128,farhan_logs/Log_153_Coeff_Finding_Qwen1.5-14B-Chat//log_153_Qwen1.5-14B-Chat(13),15,5,0,20,0,0,6,14,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,-1,(14:14),128,farhan_logs/Log_153_Coeff_Finding_Qwen1.5-14B-Chat//log_153_Qwen1.5-14B-Chat(14),15,5,0,20,0,0,4,16,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,-1,(15:15),128,farhan_logs/Log_153_Coeff_Finding_Qwen1.5-14B-Chat//log_153_Qwen1.5-14B-Chat(15),15,5,0,20,0,0,3,17,0
Model name,Model Size,Layer,Coeff,Max Tokens,File Path,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
google/gemma-2b-it,2b-it,-1,(0:0),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(0),11,9,0,0,0,20,0,0,20
google/gemma-2b-it,2b-it,-1,(1:1),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(1),11,9,0,14,6,0,10,10,0
google/gemma-2b-it,2b-it,-1,(2:2),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(2),11,9,0,14,6,0,8,12,0
google/gemma-2b-it,2b-it,-1,(3:3),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(3),11,9,0,18,2,0,7,13,0
google/gemma-2b-it,2b-it,-1,(4:4),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(4),11,9,0,17,3,0,3,17,0
google/gemma-2b-it,2b-it,-1,(5:5),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(5),11,9,0,19,1,0,3,17,0
google/gemma-2b-it,2b-it,-1,(6:6),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(6),11,9,0,18,2,0,7,13,0
google/gemma-2b-it,2b-it,-1,(7:7),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(7),11,9,0,18,2,0,4,16,0
google/gemma-2b-it,2b-it,-1,(8:8),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(8),11,9,0,18,2,0,3,17,0
google/gemma-2b-it,2b-it,-1,(9:9),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(9),11,9,0,17,3,0,0,20,0
google/gemma-2b-it,2b-it,-1,(10:10),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(10),11,9,0,13,7,0,3,17,0
google/gemma-2b-it,2b-it,-1,(11:11),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(11),11,9,0,12,8,0,4,16,0
google/gemma-2b-it,2b-it,-1,(12:12),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(12),12,8,0,5,15,0,0,20,0
google/gemma-2b-it,2b-it,-1,(13:13),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(13),11,9,0,7,13,0,1,19,0
google/gemma-2b-it,2b-it,-1,(14:14),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(14),11,9,0,12,8,0,0,20,0
google/gemma-2b-it,2b-it,-1,(15:15),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(15),11,9,0,8,12,0,1,19,0
google/gemma-2b-it,2b-it,-1,(16:16),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(16),11,9,0,11,9,0,1,19,0
google/gemma-2b-it,2b-it,-1,(17:17),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(17),11,9,0,14,6,0,0,20,0
google/gemma-2b-it,2b-it,-1,(18:18),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(18),11,9,0,13,7,0,0,20,0
google/gemma-2b-it,2b-it,-1,(19:19),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(19),11,9,0,10,10,0,2,18,0
google/gemma-2b-it,2b-it,-1,(20:20),128,farhan_logs/Log_155_Coeff_Finding_gemma-2b-it//log_155_gemma-2b-it(20),11,9,0,12,8,0,0,20,0
google/gemma-7b-it,7b-it,-1,(0:0),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(0),16,4,0,0,0,20,0,0,20
google/gemma-7b-it,7b-it,-1,(1:1),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(1),16,4,0,16,4,0,16,4,0
google/gemma-7b-it,7b-it,-1,(2:2),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(2),16,4,0,17,3,0,15,5,0
google/gemma-7b-it,7b-it,-1,(3:3),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(3),16,4,0,18,2,0,14,6,0
google/gemma-7b-it,7b-it,-1,(4:4),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(4),16,4,0,19,0,1,13,7,0
google/gemma-7b-it,7b-it,-1,(5:5),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(5),16,4,0,20,0,0,9,11,0
google/gemma-7b-it,7b-it,-1,(6:6),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(6),16,4,0,20,0,0,10,10,0
google/gemma-7b-it,7b-it,-1,(7:7),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(7),16,4,0,7,13,0,6,14,0
google/gemma-7b-it,7b-it,-1,(8:8),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(8),16,4,0,1,19,0,1,19,0
google/gemma-7b-it,7b-it,-1,(9:9),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(9),16,4,0,15,5,0,2,18,0
google/gemma-7b-it,7b-it,-1,(10:10),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(10),16,4,0,15,5,0,4,16,0
google/gemma-7b-it,7b-it,-1,(11:11),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(11),16,4,0,15,5,0,2,18,0
google/gemma-7b-it,7b-it,-1,(12:12),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(12),16,4,0,11,9,0,2,18,0
google/gemma-7b-it,7b-it,-1,(13:13),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(13),16,4,0,14,6,0,7,13,0
google/gemma-7b-it,7b-it,-1,(14:14),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(14),16,4,0,12,8,0,6,14,0
google/gemma-7b-it,7b-it,-1,(15:15),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(15),16,4,0,14,6,0,10,10,0
google/gemma-7b-it,7b-it,-1,(16:16),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(16),16,4,0,10,10,0,7,13,0
google/gemma-7b-it,7b-it,-1,(17:17),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(17),16,4,0,12,8,0,13,7,0
google/gemma-7b-it,7b-it,-1,(18:18),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(18),16,4,0,12,8,0,9,11,0
google/gemma-7b-it,7b-it,-1,(19:19),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(19),16,4,0,15,5,0,10,10,0
google/gemma-7b-it,7b-it,-1,(20:20),128,farhan_logs/Log_156_Coeff_Finding_gemma-7b-it//log_156_gemma-7b-it(20),16,4,0,15,5,0,11,9,0
